date,Fech_PRIO3
2022-09-22,29.549999
2022-09-23,28.120001
2022-09-26,28.120001
2022-09-27,27.18
2022-09-28,27.91
2022-09-29,27.23
2022-09-30,27.530001
2022-10-03,28.940001
2022-10-04,30.33
2022-10-05,31.299999
2022-10-06,31.610001
2022-10-07,32.009998
2022-10-10,31.459999
2022-10-11,31.5
2022-10-13,31.76
2022-10-14,31.049999
2022-10-17,31.35
2022-10-18,32.23
2022-10-19,33.43
2022-10-20,33.209999
2022-10-21,33.849998
2022-10-24,33.490002
2022-10-25,33.790001
2022-10-26,33.330002
2022-10-27,33.610001
2022-10-28,34.02
2022-10-31,35.389999
2022-11-01,37.130001
2022-11-03,36.740002
2022-11-04,37.650002
2022-11-07,36.419998
2022-11-08,37.43
2022-11-09,37.220001
2022-11-10,36.580002
2022-11-11,37.700001
2022-11-14,38.5
2022-11-16,36.27
2022-11-17,35.799999
2022-11-18,34.5
2022-11-21,34.490002
2022-11-22,35.470001
2022-11-23,35.27
2022-11-24,36.509998
2022-11-25,34.650002
2022-11-28,34.900002
2022-11-29,35.279999
2022-11-30,36.049999
2022-12-01,36.700001
2022-12-02,36.689999
2022-12-05,36.02
2022-12-06,34.639999
2022-12-07,32.669998
2022-12-08,33.169998
2022-12-09,33.650002
2022-12-12,34.639999
2022-12-13,34.889999
2022-12-14,36.18
2022-12-15,35.77
2022-12-16,35.349998
2022-12-19,35.779999
2022-12-20,35.860001
2022-12-21,35.630001
2022-12-22,35.259998
2022-12-23,35.490002
2022-12-26,35.439999
2022-12-27,35.580002
2022-12-28,37.25
2022-12-29,37.209999
2023-01-02,36.759998
2023-01-03,34.299999
2023-01-04,34.09
2023-01-05,34.970001
2023-01-06,35.18
2023-01-09,36.009998
2023-01-10,36.209999
2023-01-11,39.02
2023-01-12,39.75
2023-01-13,39.049999
2023-01-16,39.07
2023-01-17,38.740002
2023-01-18,38.970001
2023-01-19,40.52
2023-01-20,41.099998
2023-01-23,41.560001
2023-01-24,41.029999
2023-01-25,41.919998
2023-01-26,42.34
2023-01-27,41.790001
2023-01-30,41.5
2023-01-31,42.099998
2023-02-01,41.099998
2023-02-02,40.049999
2023-02-03,40.169998
2023-02-06,41.200001
2023-02-07,41.630001
2023-02-08,42.549999
2023-02-09,41.959999
2023-02-10,42.75
2023-02-13,42.040001
2023-02-14,40.860001
2023-02-15,40.900002
2023-02-16,40.25
2023-02-17,38.209999
2023-02-22,37.599998
2023-02-23,37.470001
2023-02-24,37.599998
2023-02-27,37.02
2023-02-28,33.700001
2023-03-01,33.380001
2023-03-02,33.959999
2023-03-03,34.709999
2023-03-06,34.630001
2023-03-07,33.59
2023-03-08,34.470001
2023-03-09,33.43
2023-03-10,33.209999
2023-03-13,31.77
2023-03-14,32.209999
2023-03-15,31.15
2023-03-16,31.700001
2023-03-17,31.370001
2023-03-20,30.99
2023-03-21,31.719999
2023-03-22,31.35
2023-03-23,29.93
2023-03-24,30.280001
2023-03-27,31.620001
2023-03-28,31.879999
2023-03-29,31.940001
2023-03-30,32.349998
2023-03-31,31.190001
2023-04-03,32.400002
2023-04-04,33.849998
2023-04-05,33.5
2023-04-06,34.860001
2023-04-10,34.919998
2023-04-11,35.73
2023-04-12,36.43
2023-04-13,36.509998
2023-04-14,36.68
2023-04-17,36.150002
